Name	Hint
Sachin Tendulkar	The only cricketer to score 100 international centuries; nicknamed the Little Master
MS Dhoni	Finished the 2011 World Cup final with a six; led India as captain across all formats
Virat Kohli	Holds the record for most ODI centuries as a run-chaser; plays for RCB in IPL
Brian Lara	His 400* against England in 2004 is the highest individual score in Test cricket
Ricky Ponting	Australian captain who led back-to-back World Cup wins in 2003 and 2007
Shane Warne	Australian leg-spinner who dismissed Gatting with the Ball of the Century in 1993
Wasim Akram	Left-arm Pakistani fast bowler widely regarded as the greatest swing bowler ever
Muttiah Muralitharan	Sri Lankan off-spinner who retired with 800 Test wickets, the all-time record
Glenn McGrath	Australian pace bowler who dismissed Sachin Tendulkar 8 times in Tests
Kapil Dev	His unbeaten 175* against Zimbabwe in the 1983 World Cup turned India's tournament around
Jasprit Bumrah	Indian fast bowler known for his unorthodox action and deadly yorkers
Rohit Sharma	The only batsman to score three ODI double centuries; nicknamed the Hitman
Sunil Gavaskar	The first batsman to score 10,000 Test runs; wore no helmet while facing West Indian pace
Vivian Richards	West Indian batsman who scored the fastest ODI century off 56 balls in 1986
Don Bradman	Australian batsman with a Test average of 99.94; considered the greatest of all time
Anil Kumble	Took 10 wickets in a single Test innings against Pakistan in Delhi in 1999
Sourav Ganguly	Took off his shirt at Lord's balcony after India's NatWest final victory in 2002
Adam Gilchrist	Wicketkeeper-batsman who changed the role of keepers with explosive batting
Jacques Kallis	South African all-rounder with over 13,000 Test runs and 292 Test wickets
Steve Waugh	Australian captain who coined the phrase mental disintegration for psychological tactics
Lord's Cricket Ground	London ground known as the Home of Cricket; has a famous slope across the pitch
Eden Gardens	Kolkata ground that can hold over 66,000 fans; hosted India's historic 2001 comeback
MCG	Melbourne Cricket Ground; hosts the Boxing Day Test every year in Australia
The Oval	London ground where the Ashes Urn's history began in 1882
Wankhede Stadium	Mumbai ground where India won the 2011 Cricket World Cup final
Newlands	Cape Town ground set against the backdrop of Table Mountain
Headingley	Leeds ground famous for Botham's 149* that won a 1981 Ashes Test from the follow-on
Gaddafi Stadium	Lahore ground that hosted Pakistan's return of international cricket in 2009
Ashes Series	England vs Australia Test rivalry; the trophy is a tiny urn said to contain burnt bail ashes
1983 World Cup	India defeated West Indies in the final at Lord's; Kapil Dev lifted the trophy
2007 T20 World Cup	India won the inaugural T20 World Cup in South Africa under Dhoni's captaincy
Duckworth-Lewis Method	Rain interruption system used in limited-overs cricket to recalculate targets
Bodyline Series	1932-33 Ashes tour where England bowled short at the body to counter Bradman
Chucking Controversy	Muralitharan's bowling action was repeatedly questioned by umpire Darrell Hair
Mankading	Dismissal where a bowler runs out the non-striker backing up before delivery
Hat-trick	Three wickets in three consecutive deliveries by a bowler
DRS	Decision Review System using Hawk-Eye and Snickometer to challenge on-field calls
T20 Cricket	The shortest international format; introduced in 2003; each team bats 20 overs
The Last Over Final	1986 Austral-Asia Cup; Javed Miandad hit a last-ball six off Chetan Sharma to win
Retired Hurt	Batsman leaves the field injured and can return later; not counted as a dismissal
Edgbaston	Birmingham ground where England famously defeated Australia in the 2005 Ashes
Harbhajan Singh	Took a hat-trick against Australia in Kolkata in 2001; nicknamed the Turbanator
Shahid Afridi	Pakistani all-rounder who held the record for fastest ODI century for 17 years
AB de Villiers	South African batsman who retired in 2018; held fastest T20I, ODI, and Test fifties records
Jonty Rhodes	South African fielder whose diving run-out of Inzamam at the 1992 World Cup is iconic
Michael Clarke	Australian captain who led his side to a 5-0 Ashes whitewash against England in 2013-14
Zaheer Khan	India's left-arm pacer who was crucial in the 2011 World Cup campaign
Curtly Ambrose	West Indian fast bowler who took 7 for 1 against Australia in a spell in 1993
Jim Laker	English off-spinner who took 19 wickets in a single Ashes Test match in 1956
Imran Khan	Pakistan's greatest all-rounder who later became the country's Prime Minister
