Words	Hints
Acharya	One who teaches by example
Acintya	Inconceivable
Advaita	Incarnation Maha-Vishnu
AdvaitaAcharya	He called out for Lord to appear by worshipping Saligram with Ganges water and Tulasi
Atmarama	Self sufficient
Bhagavatam	Lord Caitanya said this is amala puranam
Caitanya	Lord Krishna in the mood of Srimati Radharani
CaitanyaBhagavat	Biographical work of Lord Caitanya written by Vrindavandas Thakur
CaitanyaMangala	Biographical work of Lord Caitanya written by Locandas Thakur
ChandKazi	Lord Caitanya had discussion with this Mughal ruler
Ekachakra	Nitai's birthplace
Gadhadara	Incarnation of Srimati Radharani
Gopalbhatta	One of the Goswamis originally from SriRangam
Gopinath	Who stole sweet rice for His devotee
Goswami	Master of one's senses
Govinda	Servant of Lord Caitanya at Puri
Gundica	Lord Caitanya spotlessly cleaned the place for Lord's arrival
HadaiPandit	Nitai's father
Haridas	Nama Acharya
Iswarapuri	Spritual master of Lord Caitanya
Jagadananda	Incarnation of Satyabhama
Jagai	Delivered by Nitai
JagannathMisra	Nimai's father
Jagannathpuri	Lord Caitanya stayed here for 18 years
Jarikanda	Lord Caitanya passed thru' this forest
Jhanava	Lord Nityananda's consort
Jiva	One of the Goswamis - nephew of Rupa and Sanatan
Kesavabharati	Lord Caitnaya accepted Sanyasa from him
KesavaKashmiri	Nimai defated the learned pandit
Krishnadas	Author of Sri Caitanya Caritamrta - kaviraj
Lakshmidevi	Lord Caitanya's consort who left the world by snake bite
Lokanath	Guru of Narottam das Thakur
Madhai	He took a broken clay pot and hurled towards Lord Nityananda
Murarigupta	Incarnation of Hanumanji in Caitanya Lila
Narottam	Born in Kheturi
Navadvipa	Lord Caitanya appeared here
Nimai	Childhood name of Lord Caitanya
Nitai	Brother of Lord Caitanya
Nityananda	Incarnation of Lord Balaram
Padmavati	Nitai's mother
Prakshananda	Sanyasi got the mercy of Lord in Benaras
Prathaparudra	A king who got the mercy of Lord Caitanya
Raghunath	One of the Goswamis
Raghunathdasa	Associated with cira-dahi festival.One of the Goswamis
Ramanandaraya	Lord Caitanya met him at the bank of river Godavari. Governor of Madras and great devotee
RathaYatra	Lord Caitanya relished this festival
Rupa	One of the Goswamis
Sachi	Mother of Lord Caitanya
Sachidevi	Nimai's mother
Sadbhuj	Lord Caitanya's Six handed form
Sakshigopal	Walked to give witness for a devotee
Sanatan	One of the Goswamis
Sankirtan	Yuga dharma
Sarvabhuma	Test Lord Caitanya in Puri
SiddhaBakul	Bhajan kutir Haridas Thakur
Sikshastaka	Song written by Lord Caitanya
Sita	Advaita Acharya's consort
SrilaPrabhupada	Founder of Hare Krishna movement
SriRangam	Lord Caitanya stayed here 4 months of Caturmasya. Gopalbhatta Goswami met Lord here.
Srivas	Incarnation of Narada Muni
Suta	Heard Srimad Bhagavatham in the assembly from Sukadeva. One of the Goswamis
SvarupaDamodar	Constant companion of Lord Caitanya in Puri
Swami	Master of one's senses
Vasudeva	Lord Caitanya being very compassionate toward the brahmana, cured him of leprosy
Vasudha	Lord Nityananda's consort
Vishnupriya	Lord Caitanya's consort
Visvarupa	Brother of Lord Caitanya
Viswambhar	Another name of Lord Caitanya
Yugadharma	Religion for the yuga
