Word	Hints
Abhimanyu	son of arjuna and subhadra who was married to uttara, daughter of king virata.
Acarya	one who teaches by example , or the ideal teacher.
Acyuta	infalliable lord - he never fails in his affection for his devotees
Ajatashatru	having no enemy, friend of all born things, an epithet of yudhishthira.
Akarma	activities which do not produce any material reaction - spritual activities
Ananta-vijaya	name of yudhisthira's conchshell
Arjuna	he was the best archer and the greatest warrior
Aryan	persons who know the value of life and have a civilization based on spiritual realization
Asvatthama	son of dronacharya and last supreme commander of the kaurava force.
Avinasi	soul is imperishable
Bhagavadgita	song of god
Bhagavan	possesor of all opulences - infinite - full understanding of the absolute truth
Bhima	the second of pandavas who excelled in physical prowess as he was born of the wind-god
Bhishma	son of shantanu and mother ganga
Bhokta	the beneficiary
Bhurisravas	prince of the balhikas and an ally of the kauravas
Brahman	the impersonal all-pervasive spirit - one aspect of absolute truth
Contemplation	a person develops attachment from this
Demigods	are empowered administrators of material affairs - authorized on behalf of the supreme personality of godhead
Devadatta	name of bhima's conchshell
Devotee	the lord selected arjuna as the recipient of this great science because he was
Dhananjaya	one of the names of arjuna.  one who wins wealth.
Dharmaksetra	a place where religious rituals are performed
Dhira	most sober man - never deluded by the change of bodies.
Dhrishtadyumna	supreme commander of the pandava forces and twin brother of draupadi.
Dhrishtaketu	son of dhrishtadyumna
Dhrtarastra	elder son of vichitravirya and ambika, born blind
Draupadi	daughter of king drupada. she was the sister of dhrishyadyumna.
Drona	military teacher of pandavas and kauravas
Drupada	king of panchala, dronas friend, father of draupadi
Duryodhana	the eldest son of the blind king dhritarashtra by queen gandhari
Ekachakra	pandavas  lived here with their mother, kunti, when they were exiled
Enemy	the mind is the friend of the conditioned soul, and his ----  as well.
Flower	if one offers lord krishna with love and devotion , he will accept it.
Fruit	if one offers lord krishna with love and devotion , he will accept it.
Gandiva	arjunas celestial bow.
Gopala	one who looks after cows
Govinda	lord - who gives pleasure to the cows and senses
Grossbody	made up of earth, water, fire, air, ether
Gudakesa	one who conquers sleep is called
Hanuman	arjuna's chariot bearing the flag marked with him
Hastinapura	capital and the kingdom of the kauravas
Highertaste	by experiencing this  one can give up  lower / mundane desires
Hrsikesa	he is the owner of all senses.
Isvara	one of the five subject matter discussed in bhagavad gita - supereme lord
Jitaindriya	one whose  senses are  controlled
Jitendriya	one whose  senses are  controlled
Jiva	one of the five subject matter discussed in bhagavad gita - living entity
Kala	one of the five subject matter discussed in bhagavad gita - time
Karma-yoga	work in krsna consciousness
Karma	activities which are prescribed in the vedas
Karmayoga	work in krsna consciousness
Kauravas	descendant of kuru, alternate name of sons of dhritarashtra.
Kesava	killer of the kesi demon
Kripacharya	ashwathamas uncle who advocated a combined assault on arjuna in battle.
Krishna	he is the source of all spiritual and material worlds
Kunti	mother of pandavas, daughter of sura also known as pritha.
Kurukshetra	mahabharata war happened here - dharmakshetre
Leaf	if one offers lord krishna with love and devotion , he will accept it.
Lust	by what is one impelled to sinful acts, even unwillingly, as if engaged by force?
Madhava	husband of the goddess of fortune
Madhusudana	another name of krishna, the slayer of the demon madhu.
Manipuspaka	name of sahadeva's conchshell
Mukti	means liberation from the contaminated consciousness of this material world and situation in pure consciousness
Nara-adhamah	lowest among mankind
Narada	divine sage, who is an enduring chanter of the names hari and narayana
Naradhamah	lowest among mankind
Pancajanya	lord krishna's conchshell
Paramatma	the localized aspect of absolute truth - supreme within the heart of all living entities
Parasara	a great sage, father of veda vyasa.
Partha	son of pritha
Parthasarathi	chariot driver for arjuna
Pasupatastra	irresistible and most destructive personal weapon of shiva
Prakriti	one of the five subject matter discussed in bhagavad gita - material nature
Pranayama	this system of yoga for controlling the breathing process is called
Prasadam	mercy of lord
Purushottama	supreme personality of godhead
Rajoguna	one of the modes of material nature - passion
Sahadeva	youngest of the pandava princes
Samadhi	when the mind is fixed for understanding the self and supreme , it is said to be in this
Sanjaya	the narrator who tells blind dhritarashtra the progress of the war
Sankhya-yoga	the analytical study of the nature of spirit and matter
Sankhya	the analytical study of the nature of spirit and matter
Sannyasi	renouncer
Santas	they are always in love with the lord
Satcitananda	eternity, knowledge, and bliss
Satva	one of the modes of material nature - goodness
Senses	are compared to venomous serpents. they want to act very loosely and without restriction
Soul	he is not slain when the body is slain.
Sthita-prajnah	one who is situated in fixed krsna consciousness
Sthitaprajnah	one who is situated in fixed krsna consciousness
Su-hrdam	the benefactor and well wishing friend
Subhadra	wife of arjuna, sister of sri krishna and mother of abhimanyu.
Subtlebody	made up of mind, intelligence and false ego
Sughosa	name of nakula's conchshell
Suhrdam	the benefactor and well wishing friend
Tamo	one of the modes of material nature - ignorance
Tamoguna	one of the modes of material nature - ignorance
Vikarma	activities which are prohibited in the vedas
Visnu	work done as a sacrifice for him to be performed; otherwise work causes bondage in this material world.
Vivasvan	bhagavad gita was spoken first to him
Vrkodara	he could eat as voraciously as he could perform herculean tasks
Vyasa	compiler of the vedas, son of sage parasara.
Water	if one offers lord krishna with love and devotion , he will accept it.
Wind	according to arjuna, controlling the mind is more difficult than controlling this
Yoga	linking with god
Yudhishthira	eldest son of king pandu and queen kunti
