Word	Hints
Anangamanjari	Younger sister of Srimati Radharani 
Caitanya	Lord Krishna in the mood of Radharani
Dwadasakanan	Twelve forests of Sri Vrindavan 
Dwijapatni	Wives of the proud Vedic brahmanas
Gandharvika	One who is expert in singing and dancing
Gaurangi	She has Golden complexion 
Gopinath	Lord of the Gopis 
Gopisvara	Protector of Sri Vrindavan Dham
Govardhan	Lord Krishna lifted this
Govinda	One who gives pleasure to cows and senses
Govindacaran	Ultimate aim of devotional service is attaining this.
Hara	means Radharani
Hari	Who steals and captures our hearts
Hemangi	Her bodily complexion is golden
JhulanYatra	Swing festival of Radha and Krishna
Kalindi	Another name of Yamuna  
Kesighata	Here Krishna killed the Kesi demon
Krishna	Radharani's beloved
Ladli	Srimati Radharani is called this way in Barsana 
Lalitha	Most important varishta gopi from Ashtasakhi
Lotus	Radharani's eyes are of this shape 
Mahavan	One of the forests of Vraja 
Nagakanya	Serpent Kaliya's wives
Paurnamasi	Arranges the pastiems of Lord Krishna and Srimati Radharani 
Radhakunda	Very spritualy surcharged bathing place in the universe
Radharani	Queen of Vraja Mandala 
Radhika	Lord Krishna's great worshipper
Rasamandala	The place where Lord Krishna performed Rasa dance
Rasarani	Queen of Rasa dance 
Rasesvari	She is the Goddess of Rasa dance 
Rohininandan	Lord Balaram
Shriji	Srimati Radharani is called this way in Barsana 
Shyamasundari	She is beloved of Shyamasundara
Shymakunda	Lord Krishna created this Kunda 
Tulasi	Beloved devotee in the form of a plant
Tungavidya	one of the AstaSakhis                   
Vamsivata	Here Krishna attracted all the gopis to come by playing His flute
Vishaka	One of the Varistha Gopis
VrindaDevi	Helps in the pastimes of Radha & Krishna 
Vrindavana	Lord Krishna and Srimati Radharani performed his pastimes here
Vrshabhanu	Father of RadhaRani
Yamuna	Lord performed pastimes in the bank of 
Yasodha	Wife of Nanda Maharaj 
