Name	Hint
The Godfather	Marlon Brando plays a mafia patriarch who makes offers people can't refuse
Inception	Christopher Nolan's 2010 film where dreams are layered inside dreams
Titanic	A 1997 epic romance set aboard a doomed ocean liner on its maiden voyage
The Dark Knight	Heath Ledger's Joker terrorizes Gotham in this Batman sequel
Pulp Fiction	Quentin Tarantino's non-linear crime anthology with Uma Thurman and John Travolta
Schindler's List	Spielberg's black-and-white Holocaust drama about a German businessman saving Jewish lives
Forrest Gump	Tom Hanks runs across America and meets US presidents across decades
The Shawshank Redemption	Two prisoners form a friendship in a Maine penitentiary over several decades
Fight Club	Brad Pitt and Edward Norton's unnamed narrator start an underground brawling club
The Matrix	Keanu Reeves discovers he's living in a simulated reality controlled by machines
Goodfellas	Ray Liotta narrates his rise and fall inside the American Mafia
Interstellar	Matthew McConaughey travels through a wormhole to find a new home for humanity
Parasite	A Korean family schemes their way into the lives of a wealthy household
Avengers: Endgame	The Avengers travel through time to undo Thanos's universe-altering snap
The Lion King	A lion cub flees his home after his uncle murders his father, the king
Home Alone	An eight-year-old is accidentally left behind when his family flies to Paris
Jurassic Park	Scientists clone dinosaurs on a Costa Rican island that quickly loses control
The Silence of the Lambs	FBI trainee Clarice Starling seeks help from cannibal Hannibal Lecter to catch a killer
Gladiator	Russell Crowe plays a Roman general enslaved and forced to become a gladiator
The Lord of the Rings: The Fellowship of the Ring	A hobbit and his companions begin a perilous journey to destroy a powerful ring
Star Wars: A New Hope	A farm boy discovers the Force and joins a rebellion against a galactic empire
Back to the Future	A teenager accidentally travels to 1955 in a time machine built by Doc Brown
The Wizard of Oz	Dorothy follows a yellow brick road to find the Wizard who can send her home
Casablanca	A cynical American runs a nightclub in Morocco during World War II
2001: A Space Odyssey	HAL 9000 malfunctions aboard a spacecraft on a mission to Jupiter
Alien	The crew of the Nostromo investigates a distress signal and encounters a deadly creature
Psycho	Janet Leigh's character stops at the Bates Motel with deadly consequences
Apocalypse Now	A US Army captain journeys into Cambodia to assassinate a rogue colonel
Blade Runner	Harrison Ford hunts down artificial humans in a dystopian Los Angeles
Amadeus	Mozart's genius is explored through the jealous perspective of his rival Salieri
3 Idiots	Three engineering students challenge the Indian education system; features Aamir Khan
Dilwale Dulhania Le Jayenge	Shah Rukh Khan pursues Kajol across Europe and to her family home in Punjab
Sholay	Two criminals are hired by a retired police officer to capture a ruthless dacoit
Mughal-E-Azam	The Mughal emperor Akbar opposes his son Salim's love for court dancer Anarkali
Mother India	A poverty-stricken woman struggles to raise her sons after her husband abandons her
Lagaan	Villagers challenge British colonizers to a cricket match to avoid paying taxes
Devdas	A man destroyed by rejected love spirals into alcoholism; adapted three times in Hindi cinema
Dil Chahta Hai	Three best friends navigate love and friendship after college graduation
Kabhi Khushi Kabhie Gham	A wealthy patriarch disowns his eldest son for marrying a girl from a humble background
Dangal	Mahavir Singh Phogat trains his daughters to become world-class wrestlers; based on a true story
RRR	Two legendary Telugu freedom fighters are reimagined in an action fantasy set in 1920s India
Baahubali: The Beginning	A man raised in a waterfall tribe discovers he is the rightful king of a great empire
Vikram Vedha	A policeman hunting a gangster realizes the criminal's stories make him question justice
Kaithi	A newly released prisoner fights his way through the night to reach his daughter; no heroine
Vikram	Kamal Haasan investigates a series of masked killings tied to a drugs network
Jai Bhim	A lawyer fights for an adivasi man who dies in police custody; based on real events
Roja	A newlywed woman's husband is captured by militants in Kashmir; she fights for his release
Enthiran	A scientist creates a humanoid robot that develops emotions and falls in love; stars Rajinikanth
2.0	A scientist's ghost seeks revenge on mobile phone networks; sequel to Enthiran
Mersal	A doctor-magician takes revenge on a corrupt health minister; stars Vijay
