Word	Hint
Acyuta	"Another name for Lord Vishnu meaning infallible, used by Prahlada when addressing the Supreme Lord"
Aditi	Mother of demigods
Ahobilam	The sacred hill complex in present-day Andhra Pradesh where Lord Narasimha appeared and where nine forms of Narasimha are worshipped
Amarka	One of the two sons of Shukracharya appointed as a teacher to educate Prahlada
Anuhlada	Prahlada's brother - name starts with A
Asuravimardana	A name of Lord Narasimha meaning destroyer of all demons
Atala	One of the hellish planets described in Srimad Bhagavatam where sinful souls go
Bali	Grandson of Prahalad maharaj
Bhakti	The path of pure devotional service demonstrated by Prahlada and protected by Lord Narasimha
Bhishmadeva	The grandsire of the Kurus who narrated the glories of Narasimha to Yudhishthira on his deathbed
Brahaspati	Priest for demigods
Brahma	The creator god who granted Hiranyakashipu his famous boon of conditional immortality
Chakra	The spinning disc weapon carried by Lord Vishnu
Chanda	One of the two sons of Shukracharya appointed as a teacher to educate Prahlada.
Column	The object Hiranyakashipu struck from which Lord Narasimha emerged in His fierce form
Danavendra	Title meaning king of the Danavas given to Hiranyakashipu who ruled the three worlds by his strength
Dasavatara	The ten principal avatars of Lord Vishnu of which Narasimha is the fourth
Diti	The mother of Hiranyaksha and Hiranyakashipu and daughter of Daksha who desired powerful sons
Doorway	The demon hiranyakasipu was killed here on the lap of lord
Dusk	The liminal period between day and night at which Lord Narasimha killed Hiranyakashipu to satisfy his boon
Gandharvas	Celestial musicians who sang the glories of Lord Narasimha after He slew Hiranyakashipu
Garuda	The divine eagle carrier of Lord Vishnu who also came to witness the killing of Hiranyakashipu
Govinda	A name of Lord Krishna used by Prahlada in his prayers glorifying the Supreme Personality of Godhead
Hiranyakashipu	The powerful demon king and father of Prahlada who received a boon making him nearly invincible;
Hiranyaksha	The twin brother of Hiranyakashipu who was killed by Lord Varaha the boar incarnation
Hiranyapura	The golden city kingdom ruled by Hiranyakashipu when he conquered all three worlds
Hlada	Prahlada's brother - name starts with H
Holika	A demoness who was killed on the day of Holi. She was the sister of King Hiranyakashipu
Indra	The king of the demigods who initially captured Kayadhu wanting to kill the unborn child of Hiranyakashipu
Jaya	One of the two gatekeepers of Vaikuntha who was cursed by the four Kumaras.
Kashyapa	The father of Hiranyaksha and Hiranyakashipu.
Kaumodaki	The divine mace weapon of Lord Vishnu sometimes depicted alongside Narasimha's fierce form
Kayadhu	The wife of Hiranyakashipu and mother of Prahlada who was protected by Narada Muni.
Kirtana	Congregational chanting of the holy names of Vishnu which Prahlada practiced and preached to his friends
Kirtanam	One of the nine methods of bhakti
Kumaras	The four mind-born sons of Brahma who cursed Jaya and Vijaya causing their repeated demoniac births
Kuvera	The demigod treasurer of the universe whose wealth Hiranyakashipu usurped after conquering the heavens
