0Name	Description
Abhay Charan De	Birth name of Srila Prabhupada meaning "one who is fearless having taken shelter at Lord Krishna's lotus feet"
Acharya Prabhakar	First disciple initiated by Srila Prabhupada in 1953
Adi Ganga	River bank location where Srila Prabhupada was born in a small mud-walled house
Allahabad Center	Location where Srila Prabhupada assisted in establishing a Gaudiya Matha center in 1928
Allen Ginsberg	American beat generation poet and patron of ISKCON
Ambarisa Dasa	Great-grandson of Henry Ford initiated by Srila Prabhupada in 1975
Back to Godhead Magazine	English fortnightly magazine started by Srila Prabhupada in 1944 to spread Krishna consciousness
Badrinarayana Das Goswami	Disciple initiated in 1971
Beyond Birth and Death	Book based on Srila Prabhupada's Bhagavad-gita lectures
Bhagavad-Gita As It Is	Premier book by Srila Prabhupada completed in 1967 and published by Macmillan in 1968
Bhakta Vikasa Swami	Disciple initiated in 1975 author of many books on Srila Prabhupada's teachings
Bhakti-ratna-boli	Bengali book by Srila Prabhupada on the jewels of devotion
Bhakti Bringa Govinda Swami	Disciple initiated in 1971 known for preaching in Africa
Bhakti Caitanya Swami	Disciple initiated in 1973 leader of ISKCON in New Zealand
Bhakti Caru Swami	Disciple initiated in 1976 who served as ISKCON leader in India
Bhakti Tirtha Swami	Disciple initiated in 1973 who led ISKCON's African mission
Bhakti Vaibhava Swami	Disciple initiated in 1971
Bhaktisvarupa Damodar Swami	Disciple with PhD initiated in 1971 who led Bhaktivedanta Institute
Bhaktivedanta Book Trust	Publishing house established by Srila Prabhupada in 1972 now the world's largest publisher of Vedic literature
Bhaktivedanta Institute	Scientific preaching institute established by Srila Prabhupada in 1976
Bhaktivedanta	Title honoring philosophical learning and devotion conferred on Srila Prabhupada in 1939
Bose Laboratory	Workplace where Srila Prabhupada was appointed assistant manager in 1921
Boy George	English singer associated with Krishna consciousness
Buddhi-yoga	Bengali writing by Srila Prabhupada on devotional intelligence
Calcutta	City where Srila Prabhupada was born on September 1 1896 and began his spiritual journey
Dr. Bose	Family physician who treated young Abhay for typhoid and prescribed chicken broth which was refused
Drutakarma Dasa	Michael A. Cremo initiated in 1976 author of "Forbidden Archeology"
Easy Journey to Other Planets	First book published by Srila Prabhupada in 1960
Elevation to Krishna Consciousness	Book based on Bhagavad-gita lectures published in 1973
Garuda Dasa	Disciple initiated in 1973 who is a scholar of comparative religion
Gaurakisora dasa	Disciple initiated in 1976
Geetar-gan	Bengali writing by Srila Prabhupada on Bhagavad-gita
George Harrison	Beatles guitarist who supported ISKCON and produced the "Hare Krishna Mantra" record
Giriraja Swami	Disciple initiated in 1969 who served as Governor of Bombay temple
Gopala Krishna Goswami	Disciple initiated in 1969 and longtime ISKCON leader
Gour Govinda Swami	Disciple initiated in 1975 known as "the scholar of Orissa"
Gour Mohan De	Father of Srila Prabhupada; a cloth merchant and pure devotee who named his son Abhay Charan
Gowalia Tank Center	Location where Srila Prabhupada helped establish a Gaudiya Matha center in 1934
Gurudas	Disciple of Srila Prabhupada initiated in 1967
Gurukula School	Vedic primary and secondary school introduced by Srila Prabhupada in Dallas Texas in 1972
Hansadutta Swami	Disciple of Srila Prabhupada initiated in 1967
Hanumatpresaka Swami	Disciple initiated in 1974
Harrison Road	Address of Srila Prabhupada's childhood home at 151 Harrison Road in Calcutta
Hridayananda Das Goswami	Disciple initiated in 1970 with PhD from Harvard
Indradyumna Swami	Disciple initiated in 1971 known for festival preaching in Poland
ISKCON	International Society for Krishna Consciousness founded by Srila Prabhupada in New York on July 13 1966
Jaladuta	Vessel name meaning "sea messenger" on which Srila Prabhupada journeyed to America
