Word	Hints
Abhimanyu	Radharani's so called husband 
Akrura	Gopis described him as cruel 
Anangamanjari	Younger sister of Srimati Radharani 
Bhadra	In this month Srimati Radharani was found by Vrshabhanu maharaj 
Bhandirvan	Radharani marries Krishna here 
Brahma	Was the preist who married Radharani and Krishna 
Caitanya	Lord Krishna in the mood of Radharani
Gadhadara	Incarnation of Srimati Radharani in Caitanya Lila 
Gandharvika	One who is expert in singing and dancing
Gaurangi	She has Golden complexion 
Gopashtami	Only day when we get the darshan of Srimati Radharani's lotus feet 
Gopinath	Lord of the Gopis 
Govindaji	Rupa Goswami found this temple
Hara	means Radharani
Hari	Who steals and captures our hearts
Hemangi	Her bodily complexion is golden
Hladini	Sakthi represented by Radharani
Imlitala	Place where Radharani cursed the tamarind trees
Jatila	Radharani's mother-in-law
Kalpavrksha	Desire full filling tree 
Katyayani	Woshipped by unmarried gopis to get Krishna as their husband 
Kirtida	Radharani's mother
Krishna	Baby Radharani first opened her eyes to see 
Kutila	Radharani's sister-in-law 
Ladli	Srimati Radharani is called this way in Barsana 
Lalitha	Came as Svarupa Damodar Goswamiin Gaura Lila
Lotus	Radharani's eyes are of this shape 
Narada	Sage who had the darshan of baby Radha 
Paurnamasi	Grand mother of Radha rani 
Radha 	Most excellent worshipper of Lord Krishna 
Radha	Whose cooking will increase Krishna's life
RadhaDamodara	Temple found by Jiva Goswami
Radharani	Chief gopis of the forest of Vrindavan
Radhika	Lord Krishna's great worshipper
Rasa	Mellow taste 
Rasarani	Queen of Rasa dance 
Rasesvari	She is the Goddess of Rasa dance 
Raval	Birth place of Srimati Radharani 
Shriji	Srimati Radharani is called this way in Barsana 
Shyamasundari	She is beloved of Shyamasundara
Sridama	Brother of Srimati Radharani
Suka	Parrot of Radharani
Surabhi	Cow that can be milked at any time 
Tulasi	Beloved devotee in the form of a plant
Tungavidya	Came as Vakreswara pandita in Gaura Lila
Uddhava	Messenger of Lord Krishna and His look-a-like
Vindhya	Originally Radharani is a daughter of a mountain
Vishaka	Came as Ramananda Raya in Gaura Lila
VrindaDevi	Helps in the pastimes of Radha & Krishna 
Vrishabhanu	Radharani's father 
Vrshabhanu	RadhaRani is known as ____ Nandini 
Yamuna	Lord performed pastimes in the bank of 
Yasodha	Wife of Nanda Maharaj 
